url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/d825b8cf-4fed-42a9-9ad0-648b0183f837/,d825b8cf-4fed-42a9-9ad0-648b0183f837,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/d825b8cf-4fed-42a9-9ad0-648b0183f837/print/,text/html,20000.00,,,,Timothy F. Hannegan,2019-01-16T17:34:48.747000-05:00,2019-01-03,United States of America,,"101 Constitution Avenue, NW",Suite L110,False,Washington,DC,20001,"{'id': 400918672, 'url': 'https://lda.senate.gov/api/v1/registrants/400918672/', 'house_registrant_id': 400918672, 'name': 'HANNEGAN LANDAU POERSCH & ROSENBAUM ADVOCACY, LLC', 'description': '&#226;€‹Government Affairs.', 'address_1': '701 Pennsylvania Avenue, NW', 'address_2': 'Suite 230', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BETH ANNE COLE', 'contact_telephone': '+1 202-256-5643', 'dt_updated': '2024-01-19T10:15:02.379971-05:00'}","{'id': 196187, 'url': 'https://lda.senate.gov/api/v1/clients/196187/', 'client_id': 505, 'name': 'PURDUE PHARMA L.P.', 'general_description': 'Pharmaceutical company.', 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CT', 'ppb_state_display': 'Connecticut', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-04-07'}","[{'general_issue_code': 'PHA', 'general_issue_code_display': 'Pharmacy', 'description': 'Monitoring legislative and regulatory activities impacting the pharmaceutical industry.', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 56689, 'prefix': 'mr', 'prefix_display': 'MR.', 'first_name': 'TIMOTHY', 'nickname': None, 'middle_name': 'FARRELL', 'last_name': 'HANNEGAN', 'suffix': None, 'suffix_display': None}, 'covered_position': 'U.S. General Accounting Office', 'new': False}], 'government_entities': []}]",[],[],[]
https://lda.senate.gov/api/v1/filings/cf9dc38c-9528-4c4e-97f1-2ca5f947f760/,cf9dc38c-9528-4c4e-97f1-2ca5f947f760,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/cf9dc38c-9528-4c4e-97f1-2ca5f947f760/print/,text/html,,,,,Alison Cricks,2019-01-18T12:49:33.873000-05:00,2019-01-19,United States of America,,"901 F Street, NW, Suite 600",,False,Washington,DC,20004,"{'id': 8316, 'url': 'https://lda.senate.gov/api/v1/registrants/8316/', 'house_registrant_id': 32029, 'name': 'CARMEN GROUP INCORPORATED', 'description': 'Lobbying and Consulting Firm', 'address_1': '901 F Street, NW, Suite 600', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ALISON CRICKS', 'contact_telephone': '+1 202-785-0500', 'dt_updated': '2024-01-24T15:23:31.543077-05:00'}","{'id': 111698, 'url': 'https://lda.senate.gov/api/v1/clients/111698/', 'client_id': 1005876, 'name': 'PROMERICA FINANCIAL CORPORATION', 'general_description': 'Banking Corporation', 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': 'PA', 'country_display': 'Panama', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'PA', 'ppb_country_display': 'Panama', 'effective_date': '2018-07-20'}","[{'general_issue_code': 'BAN', 'general_issue_code_display': 'Banking', 'description': 'Legislative and administration monitoring and outreach on issues affecting the international banking industry.', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 19552, 'prefix': None, 'prefix_display': None, 'first_name': 'DAVID', 'nickname': None, 'middle_name': None, 'last_name': 'CARMEN', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}, {'lobbyist': {'id': 18850, 'prefix': None, 'prefix_display': None, 'first_name': 'JOHN', 'nickname': None, 'middle_name': None, 'last_name': 'LADD', 'suffix': None, 'suffix_display': None}, 'covered_position': 'Counsel, House Judiciary Committee', 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}, {'id': 39, 'name': 'State, Dept of (DOS)'}, {'id': 41, 'name': 'Treasury, Dept of'}, {'id': 12, 'name': 'White House Office'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/9179eb92-c21c-4475-8c44-abac360e37cb/,9179eb92-c21c-4475-8c44-abac360e37cb,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/9179eb92-c21c-4475-8c44-abac360e37cb/print/,text/html,,,,,David DiStefano,2019-01-31T15:36:46.157000-05:00,2019-01-01,United States of America,,PO Box 648,,False,Delaware,OH,43015,"{'id': 78733, 'url': 'https://lda.senate.gov/api/v1/registrants/78733/', 'house_registrant_id': 78733, 'name': 'MR. DAVID DISTEFANO', 'description': 'Government Relations Consultant', 'address_1': '734 Jaeger Street', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Columbus', 'state': 'OH', 'state_display': 'Ohio', 'zip': '43206', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAVID DISTEFANO', 'contact_telephone': '+1 202-674-1516', 'dt_updated': '2022-05-04T10:43:00.652002-04:00'}","{'id': 170371, 'url': 'https://lda.senate.gov/api/v1/clients/170371/', 'client_id': 280, 'name': 'REYNOLDS AMERICAN, INC.', 'general_description': 'Tobacco company', 'client_government_entity': False, 'client_self_select': False, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'NC', 'ppb_state_display': 'North Carolina', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2009-07-15'}","[{'general_issue_code': 'TOB', 'general_issue_code_display': 'Tobacco', 'description': 'tobacco', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 18347, 'prefix': None, 'prefix_display': None, 'first_name': 'DAVID', 'nickname': None, 'middle_name': None, 'last_name': 'DISTEFANO', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/8efe606c-3b0f-4b86-8cb6-322468880539/,8efe606c-3b0f-4b86-8cb6-322468880539,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/8efe606c-3b0f-4b86-8cb6-322468880539/print/,text/html,5000.00,,,,Brian Darling,2019-02-01T11:14:41.910000-05:00,2019-02-01,United States of America,,"1015 15th Street, NW, Suite 600",,False,Washington,DC,20005,"{'id': 401104531, 'url': 'https://lda.senate.gov/api/v1/registrants/401104531/', 'house_registrant_id': 401104531, 'name': 'LIBERTY GOVERNMENT AFFAIRS', 'description': 'Public relations, lobbying and coalitions building.', 'address_1': '901 7th Street, NW. #200', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'BRIAN DARLING', 'contact_telephone': '+1 202-805-0364', 'dt_updated': '2023-08-01T15:03:44.208894-04:00'}","{'id': 201986, 'url': 'https://lda.senate.gov/api/v1/clients/201986/', 'client_id': 24, 'name': 'WEEDMAPS', 'general_description': 'Technology', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-09-14'}","[{'general_issue_code': 'BUD', 'general_issue_code_display': 'Budget/Appropriations', 'description': 'Appropriations rider preventing prosecution of states that allow medical marijuana.', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 66791, 'prefix': None, 'prefix_display': None, 'first_name': 'BRIAN', 'nickname': None, 'middle_name': None, 'last_name': 'DARLING', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}, {'general_issue_code': 'MED', 'general_issue_code_display': 'Medical/Disease Research/Clinical Labs', 'description': 'Medical marijuana research.', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 66791, 'prefix': None, 'prefix_display': None, 'first_name': 'BRIAN', 'nickname': None, 'middle_name': None, 'last_name': 'DARLING', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}, {'general_issue_code': 'LAW', 'general_issue_code_display': 'Law Enforcement/Crime/Criminal Justice', 'description': 'Criminal justice reform as it applies to marijuana prosecutions.', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 66791, 'prefix': None, 'prefix_display': None, 'first_name': 'BRIAN', 'nickname': None, 'middle_name': None, 'last_name': 'DARLING', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/ea5b7128-60a2-4cd8-9843-c21a1fe2d632/,ea5b7128-60a2-4cd8-9843-c21a1fe2d632,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/ea5b7128-60a2-4cd8-9843-c21a1fe2d632/print/,text/html,,,,,ANDREW G. KAFFES,2019-02-01T17:34:28.130000-05:00,2019-01-31,United States of America,,"1909 Q Street, NW",Suite 400,False,Washington,DC,20009,"{'id': 317993, 'url': 'https://lda.senate.gov/api/v1/registrants/317993/', 'house_registrant_id': 39336, 'name': 'A.G. KAFFES AND ASSOCIATES LLC', 'description': 'To provide government relations and public relations consulting services.', 'address_1': '1909 Q Street, NW', 'address_2': 'Suite 400', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20009', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ANDREW G. KAFFES', 'contact_telephone': '+1 202-441-5099', 'dt_updated': '2024-01-15T14:53:54.466623-05:00'}","{'id': 186174, 'url': 'https://lda.senate.gov/api/v1/clients/186174/', 'client_id': 113, 'name': 'ORAL HEALTH AMERICA', 'general_description': 'National organization educating about importance of oral health to overall well-being', 'client_government_entity': False, 'client_self_select': None, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'IL', 'ppb_state_display': 'Illinois', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2014-02-03'}","[{'general_issue_code': 'HCR', 'general_issue_code_display': 'Health Issues', 'description': 'S.22, Medicare Dental Benefit Act of 2019. Support.', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 5917, 'prefix': None, 'prefix_display': None, 'first_name': 'ANDREW', 'nickname': None, 'middle_name': 'G', 'last_name': 'KAFFES', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}], 'government_entities': [{'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/c80146bc-0b95-4f20-aa1c-62f6258d2aae/,c80146bc-0b95-4f20-aa1c-62f6258d2aae,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/c80146bc-0b95-4f20-aa1c-62f6258d2aae/print/,text/html,50000.00,,,,Henry W. Menn III,2019-02-05T14:05:01.903000-05:00,2019-02-01,United States of America,,"601 13th Street, NW",6th Floor,False,Washington,DC,20005,"{'id': 287895, 'url': 'https://lda.senate.gov/api/v1/registrants/287895/', 'house_registrant_id': 37058, 'name': 'BROWN RUDNICK LLP', 'description': 'Law Firm', 'address_1': '601 13th Street, NW', 'address_2': '6th Floor', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ANDREW P. STREHLE', 'contact_telephone': '', 'dt_updated': '2022-04-06T16:06:44.387651-04:00'}","{'id': 176993, 'url': 'https://lda.senate.gov/api/v1/clients/176993/', 'client_id': 1004277, 'name': 'APOTEX CORPORATION', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': '', 'country_display': '* Undetermined', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': '', 'ppb_country_display': '* Undetermined', 'effective_date': '2007-10-01'}","[{'general_issue_code': 'HCR', 'general_issue_code_display': 'Health Issues', 'description': ""Public Law 115-52, Section 808, relating to the Competitive Generic Therapy designation;  President's FY19 budget proposal relating to generic drug 180-Day exclusivity"", 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 4627, 'prefix': None, 'prefix_display': None, 'first_name': 'HENRY', 'nickname': None, 'middle_name': 'W', 'last_name': 'MENN', 'suffix': 'iii', 'suffix_display': 'III'}, 'covered_position': 'CoS, Sen. Bob Graham (01 - 04); Min SD & Counsel, Cmte on Vet Affairs (04); Sp Asst Leg Aff, FDA Off of Commission (93-95)', 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/a99e5dac-b22b-4fdf-abc4-ecdd93406701/,a99e5dac-b22b-4fdf-abc4-ecdd93406701,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/a99e5dac-b22b-4fdf-abc4-ecdd93406701/print/,text/html,20000.00,,,,Henry W. Menn III,2019-02-05T14:16:02.890000-05:00,2019-02-01,United States of America,,"601 13th Street, NW",6th Floor,False,Washington,DC,20005,"{'id': 287895, 'url': 'https://lda.senate.gov/api/v1/registrants/287895/', 'house_registrant_id': 37058, 'name': 'BROWN RUDNICK LLP', 'description': 'Law Firm', 'address_1': '601 13th Street, NW', 'address_2': '6th Floor', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ANDREW P. STREHLE', 'contact_telephone': '', 'dt_updated': '2022-04-06T16:06:44.387651-04:00'}","{'id': 176984, 'url': 'https://lda.senate.gov/api/v1/clients/176984/', 'client_id': 1002381, 'name': 'MEDTRONIC INC', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': '', 'country_display': '* Undetermined', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': '', 'ppb_country_display': '* Undetermined', 'effective_date': '2007-07-18'}","[{'general_issue_code': 'HCR', 'general_issue_code_display': 'Health Issues', 'description': 'issues relating to non-pharmacology pain treatment', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 4627, 'prefix': None, 'prefix_display': None, 'first_name': 'HENRY', 'nickname': None, 'middle_name': 'W', 'last_name': 'MENN', 'suffix': 'iii', 'suffix_display': 'III'}, 'covered_position': 'CoS, Sen. Bob Graham (2001 - 2004); Min SD & Counsel, Cmte on Vet Affairs (2004); Sp Asst Leg Aff, FDA Office of Commissioner (1993-1995)', 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}, {'general_issue_code': 'MMM', 'general_issue_code_display': 'Medicare/Medicaid', 'description': 'issues relating to Medicare value-based health care', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 4627, 'prefix': None, 'prefix_display': None, 'first_name': 'HENRY', 'nickname': None, 'middle_name': 'W', 'last_name': 'MENN', 'suffix': 'iii', 'suffix_display': 'III'}, 'covered_position': 'CoS, Sen. Bob Graham (2001 - 2004); Min SD & Counsel, Cmte on Vet Affairs (2004); Sp Asst Leg Aff, FDA Office of Commissioner (1993-1995)', 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/328403a1-2091-4d82-a617-795379bf19b7/,328403a1-2091-4d82-a617-795379bf19b7,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/328403a1-2091-4d82-a617-795379bf19b7/print/,text/html,60000.00,,,,Henry W. Menn III,2019-02-05T14:27:04.797000-05:00,2019-02-01,United States of America,,"601 13th Street, NW",6th Floor,False,Washington,DC,20005,"{'id': 287895, 'url': 'https://lda.senate.gov/api/v1/registrants/287895/', 'house_registrant_id': 37058, 'name': 'BROWN RUDNICK LLP', 'description': 'Law Firm', 'address_1': '601 13th Street, NW', 'address_2': '6th Floor', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20005', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'ANDREW P. STREHLE', 'contact_telephone': '', 'dt_updated': '2022-04-06T16:06:44.387651-04:00'}","{'id': 176997, 'url': 'https://lda.senate.gov/api/v1/clients/176997/', 'client_id': 1004900, 'name': 'HEALTHCARE DISTRIBUTION ALLIANCE F/K/A HEALTHCARE DISTRIBUTION MANAGEMENT ASSOC', 'general_description': 'Association of Healthcare Distributors', 'client_government_entity': False, 'client_self_select': False, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2008-03-15'}","[{'general_issue_code': 'HCR', 'general_issue_code_display': 'Health Issues', 'description': 'Issues relating to affordable pharmaceutical pricing', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 4627, 'prefix': None, 'prefix_display': None, 'first_name': 'HENRY', 'nickname': None, 'middle_name': 'W', 'last_name': 'MENN', 'suffix': 'iii', 'suffix_display': 'III'}, 'covered_position': 'CoS, Sen. Bob Graham (2001 - 2004); Min SD & Counsel, Cmte on Vet Affairs (2004); Sp Asst Leg Aff, FDA Office of Commissioner (1993-1995)', 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/81b22910-ac83-4a8b-ace1-919bf321941c/,81b22910-ac83-4a8b-ace1-919bf321941c,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/81b22910-ac83-4a8b-ace1-919bf321941c/print/,text/html,20000.00,,,,Wilson Pipestem,2019-02-05T16:00:12.030000-05:00,2019-02-01,United States of America,,320 S. Boston Ave Suite 1705,,False,Tulsa,OK,74103,"{'id': 60537, 'url': 'https://lda.senate.gov/api/v1/registrants/60537/', 'house_registrant_id': 35349, 'name': 'IETAN CONSULTING, LLC', 'description': 'consulting', 'address_1': '320 S. Boston Suite 1705', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Tulsa', 'state': 'OK', 'state_display': 'Oklahoma', 'zip': '74103', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'WILSON PIPESTEM', 'contact_telephone': '+1 703-980-2262', 'dt_updated': '2022-09-22T15:44:19.289827-04:00'}","{'id': 160925, 'url': 'https://lda.senate.gov/api/v1/clients/160925/', 'client_id': 253, 'name': 'SAN MANUEL BAND OF MISSION INDIANS', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-28'}","[{'general_issue_code': 'IND', 'general_issue_code_display': 'Indian/Native American Affairs', 'description': 'Fee to trust land acquisition, Tribal Labor Sovereignty Act, Tax reform', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 41768, 'prefix': None, 'prefix_display': None, 'first_name': 'WILSON', 'nickname': None, 'middle_name': 'K', 'last_name': 'PIPESTEM', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}], 'government_entities': [{'id': 146, 'name': 'Bureau of Indian Affairs (BIA)'}, {'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 36, 'name': 'Interior, Dept of (DOI)'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
https://lda.senate.gov/api/v1/filings/198ee80f-db9d-4664-9cf2-08ade9bc90a4/,198ee80f-db9d-4664-9cf2-08ade9bc90a4,1T,1st Quarter - Termination,2019,first_quarter,1st Quarter (Jan 1 - Mar 31),https://lda.senate.gov/filings/public/filing/198ee80f-db9d-4664-9cf2-08ade9bc90a4/print/,text/html,10000.00,,,,JEFFREY J. KIMBELL,2019-02-05T16:09:16.530000-05:00,2019-01-31,United States of America,,"601 13TH STREET, NW",SUITE 650 NORTH,False,WASHINGTON,DC,20005,"{'id': 46038, 'url': 'https://lda.senate.gov/api/v1/registrants/46038/', 'house_registrant_id': 34381, 'name': 'JEFFREY J. KIMBELL AND ASSOCIATES', 'description': 'Consulting Firm', 'address_1': '401 9th Street NW', 'address_2': 'Suite 920', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20004', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JEFFREY KIMBELL', 'contact_telephone': '+1 202-735-2590', 'dt_updated': '2024-02-15T16:51:21.599710-05:00'}","{'id': 153922, 'url': 'https://lda.senate.gov/api/v1/clients/153922/', 'client_id': 1003441, 'name': 'SUPERIOR AIR-GROUND AMBULANCE SERVICES', 'general_description': 'AMBULANCE &amp; EMERGENCY RESPONSE SERVICES', 'client_government_entity': False, 'client_self_select': False, 'state': 'IL', 'state_display': 'Illinois', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2013-02-01'}","[{'general_issue_code': 'MMM', 'general_issue_code_display': 'Medicare/Medicaid', 'description': 'Medicare and Medicaid policies relating to ground and air ambulance services', 'foreign_entity_issues': '', 'lobbyists': [{'lobbyist': {'id': 42442, 'prefix': 'mr', 'prefix_display': 'MR.', 'first_name': 'JEFFREY', 'nickname': None, 'middle_name': 'J', 'last_name': 'KIMBELL', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}, {'lobbyist': {'id': 51434, 'prefix': None, 'prefix_display': None, 'first_name': 'JODIE', 'nickname': None, 'middle_name': None, 'last_name': 'LOCKHART', 'suffix': None, 'suffix_display': None}, 'covered_position': None, 'new': False}, {'lobbyist': {'id': 60159, 'prefix': None, 'prefix_display': None, 'first_name': 'KEITH', 'nickname': None, 'middle_name': None, 'last_name': 'STUDDARD', 'suffix': None, 'suffix_display': None}, 'covered_position': 'Legislative Director, Rep. Marsha Blackburn', 'new': False}, {'lobbyist': {'id': 67296, 'prefix': None, 'prefix_display': None, 'first_name': 'JOHN', 'nickname': None, 'middle_name': 'R', 'last_name': 'RAY', 'suffix': None, 'suffix_display': None}, 'covered_position': 'Legislative Assistant, Rep. Mike Kelly', 'new': False}, {'lobbyist': {'id': 53650, 'prefix': None, 'prefix_display': None, 'first_name': 'JOHN', 'nickname': None, 'middle_name': None, 'last_name': 'HERZOG', 'suffix': None, 'suffix_display': None}, 'covered_position': 'Health Aide, Sen. Lamar Alexander; Special Assistant to the Assistant to the President for Legislative Affairs, Executive Office of the President', 'new': False}], 'government_entities': [{'id': 2, 'name': 'HOUSE OF REPRESENTATIVES'}, {'id': 1, 'name': 'SENATE'}]}]",[],[],[]
