url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/7dfd45a5-6a37-4751-bb58-6d57f8e8451d/,7dfd45a5-6a37-4751-bb58-6d57f8e8451d,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/7dfd45a5-6a37-4751-bb58-6d57f8e8451d/print/,text/html,,,,,Joseph Kuklis,2019-10-03T19:30:20.957000-04:00,2019-08-27,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201723, 'url': 'https://lda.senate.gov/api/v1/clients/201723/', 'client_id': 36, 'name': 'RE2, INC.', 'general_description': 'Developer of robotic manipulator arms for mobile ground and underwater robots', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-02-09'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/517fff67-c611-4bd9-b54f-3901c0f34ed3/,517fff67-c611-4bd9-b54f-3901c0f34ed3,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/517fff67-c611-4bd9-b54f-3901c0f34ed3/print/,text/html,,,,,Joseph Kuklis,2019-10-03T19:32:22.023000-04:00,2019-08-14,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201724, 'url': 'https://lda.senate.gov/api/v1/clients/201724/', 'client_id': 48, 'name': 'ALLEGHENY COUNTY LIBRARY ASSOCIATION', 'general_description': 'A federated library system of 46 public libraries', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-05-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/c637cfee-908e-486f-a6ca-967b91c3310b/,c637cfee-908e-486f-a6ca-967b91c3310b,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/c637cfee-908e-486f-a6ca-967b91c3310b/print/,text/html,,,,,Joseph Kuklis,2019-10-03T19:33:22.947000-04:00,2019-08-14,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201729, 'url': 'https://lda.senate.gov/api/v1/clients/201729/', 'client_id': 51, 'name': 'ASTROBOTIC TECHNOLOGY INC', 'general_description': 'A lunar logistics company that delivers payloads to the Moon.', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-05-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/224e499f-9ea4-494e-ac04-e448a4a24212/,224e499f-9ea4-494e-ac04-e448a4a24212,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/224e499f-9ea4-494e-ac04-e448a4a24212/print/,text/html,12000.00,,,,Joseph Kuklis,2019-10-03T19:38:25.703000-04:00,2019-09-30,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201725, 'url': 'https://lda.senate.gov/api/v1/clients/201725/', 'client_id': 101, 'name': 'COAL HILL VENTURES', 'general_description': 'Global venture fund and accelerator that helps companies in robotics grow to potential.', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-01-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/bfdd361e-7def-4703-a2dd-5f807d03e8b2/,bfdd361e-7def-4703-a2dd-5f807d03e8b2,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/bfdd361e-7def-4703-a2dd-5f807d03e8b2/print/,text/html,,,,,Joseph Kuklis,2019-10-03T19:39:26.610000-04:00,2019-08-20,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201727, 'url': 'https://lda.senate.gov/api/v1/clients/201727/', 'client_id': 113, 'name': 'PIA', 'general_description': 'Post-secondary aircraft mechanics and avionics training school.', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-01-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/b95a2333-8c50-4930-ac22-6c6d50e2a4ea/,b95a2333-8c50-4930-ac22-6c6d50e2a4ea,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/b95a2333-8c50-4930-ac22-6c6d50e2a4ea/print/,text/html,,,,,Joseph Kuklis,2019-10-03T19:41:27.487000-04:00,2019-08-13,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201731, 'url': 'https://lda.senate.gov/api/v1/clients/201731/', 'client_id': 125, 'name': 'ROSEDALE TECHNICAL COLLEGE', 'general_description': 'RTC provides post-secondary trade school education.', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-04-02'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/2a8b45f7-64af-4730-b8b3-f76a4b92772a/,2a8b45f7-64af-4730-b8b3-f76a4b92772a,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/2a8b45f7-64af-4730-b8b3-f76a4b92772a/print/,text/html,,,,,Joseph Kuklis,2019-10-03T19:42:29.160000-04:00,2019-09-30,United States of America,,1828 Winchester Dr,,True,Pittsburgh,PA,15241,"{'id': 401104410, 'url': 'https://lda.senate.gov/api/v1/registrants/401104410/', 'house_registrant_id': 401104410, 'name': 'WELLINGTON STRATEGIES, LLC.', 'description': 'government affairs', 'address_1': '1828 Winchester Dr', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Pittsburgh', 'state': 'PA', 'state_display': 'Pennsylvania', 'zip': '15241', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'JOSEPH KUKLIS', 'contact_telephone': '+1 412-606-6067', 'dt_updated': '2022-04-06T16:06:22.986356-04:00'}","{'id': 201732, 'url': 'https://lda.senate.gov/api/v1/clients/201732/', 'client_id': 137, 'name': 'PROPEL FOUNDATION', 'general_description': 'Public charter school', 'client_government_entity': False, 'client_self_select': None, 'state': 'PA', 'state_display': 'Pennsylvania', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'PA', 'ppb_state_display': 'Pennsylvania', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-04-04'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/ec72edbc-ea39-46c3-92d5-8d74aeae3541/,ec72edbc-ea39-46c3-92d5-8d74aeae3541,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/ec72edbc-ea39-46c3-92d5-8d74aeae3541/print/,text/html,,,,,Michael O. Ware,2019-10-04T15:18:54.757000-04:00,2019-07-01,United States of America,,2600 Virginia Avenue NW,#505,False,Washington,DC,20037,"{'id': 400703106, 'url': 'https://lda.senate.gov/api/v1/registrants/400703106/', 'house_registrant_id': 400703106, 'name': 'NEW WEST STRATEGIES, LLC', 'description': 'Consulting and lobby firm', 'address_1': '2600 Virginia Avenue NW', 'address_2': '#505', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20037', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'MICHAEL WARE', 'contact_telephone': '+1 202-333-5990', 'dt_updated': '2022-04-06T16:07:20.483176-04:00'}","{'id': 194407, 'url': 'https://lda.senate.gov/api/v1/clients/194407/', 'client_id': 36, 'name': 'WESTERN PACIFIC TIMBER', 'general_description': 'Timber company', 'client_government_entity': False, 'client_self_select': False, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'VA', 'ppb_state_display': 'Virginia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2012-12-04'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/b91151fd-93c1-4b9d-97ce-86e4871e7c0d/,b91151fd-93c1-4b9d-97ce-86e4871e7c0d,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/b91151fd-93c1-4b9d-97ce-86e4871e7c0d/print/,text/html,,,,,"Glenn Willard, Of Counsel",2019-10-15T15:14:36.757000-04:00,2019-09-30,United States of America,,"2550 M STREET, NW",,,WASHINGTON,DC,20037,"{'id': 30906, 'url': 'https://lda.senate.gov/api/v1/registrants/30906/', 'house_registrant_id': 31917, 'name': 'SQUIRE PATTON BOGGS', 'description': 'Law Firm', 'address_1': '2550 M STREET, NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20037', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'GLENN WILLARD', 'contact_telephone': '+1 202-457-6000', 'dt_updated': '2024-01-22T14:59:52.054923-05:00'}","{'id': 137650, 'url': 'https://lda.senate.gov/api/v1/clients/137650/', 'client_id': 1009215, 'name': 'BATTLE BORN MUNITIONS INC.', 'general_description': 'Company provides security and defense advice, training, goods and services', 'client_government_entity': False, 'client_self_select': None, 'state': 'NV', 'state_display': 'Nevada', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'NV', 'ppb_state_display': 'Nevada', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2015-06-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/ad982cfb-13c3-4742-acb0-b216c6fd5a23/,ad982cfb-13c3-4742-acb0-b216c6fd5a23,3@Y,3rd Quarter - Termination Amendment (No Activity),2019,third_quarter,3rd Quarter (July 1 - Sep 30),https://lda.senate.gov/filings/public/filing/ad982cfb-13c3-4742-acb0-b216c6fd5a23/print/,text/html,,,,,"Glenn Willard, Of Counsel",2019-10-15T15:15:38.977000-04:00,2019-09-30,United States of America,,"2550 M STREET, NW",,,WASHINGTON,DC,20037,"{'id': 30906, 'url': 'https://lda.senate.gov/api/v1/registrants/30906/', 'house_registrant_id': 31917, 'name': 'SQUIRE PATTON BOGGS', 'description': 'Law Firm', 'address_1': '2550 M STREET, NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20037', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'GLENN WILLARD', 'contact_telephone': '+1 202-457-6000', 'dt_updated': '2024-01-22T14:59:52.054923-05:00'}","{'id': 137249, 'url': 'https://lda.senate.gov/api/v1/clients/137249/', 'client_id': 1005204, 'name': 'HESCO MILITARY PRODUCTS LTD', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'SC', 'state_display': 'South Carolina', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2008-02-15'}",[],[],[],[]
